draw_order,rfc,title,date,codeable,site_section,site_line_in_txt,parameter,code,interpretive_decision_required,note
1,RFC 10029,DNS Multiple QTYPEs,July 2026,yes,4. Security Considerations,328,"a limit of four QTx values",UNNAMED,no,"value given with a motive (amplification risk) and no reference; number spelled as a word"
2,RFC 10026,Operational Recommendations for DNSSEC Delegation Signer (DS) Automation,July 2026,yes,4.1. Recommendations,225,"TTL to a value between 5-15 minutes",UNNAMED,yes,"site paragraph carries no reference; the document's paired Analysis section 4.2.2 argues the range and cites [LowTTL] for the load claim — SELF-DERIVED under a structural reading of 'site'"
3,RFC 10023,"The ""_for-sale"" Underscored and Globally Scoped DNS Node Name",July 2026,yes,2.1. General Record Format,223,"MUST NOT contain more than one tag-value pair",UNNAMED,yes,"cardinality-1 structural rule; counts as a 'limit' by the letter of the rule, arguably data-model grammar rather than a tuned parameter"
4,RFC 10022,IMAP UIDBATCHES Extension,July 2026,yes,3.1.1. Example Usage,189,"More than N/2 messages ... MUST NOT resend UIDBATCHES otherwise",UNNAMED,yes,"a coefficient (1/2) rather than a fixed value; the same document warrants its 500-message minimum via 3.1.3.4 Design Rationale, which document order does not reach"
5,RFC 10019,Zeroconf Multicast Address Allocation Problem Statement and Requirements,July 2026,no,,,"(none qualifying)",,no,"all numbers are address-space arithmetic, bit widths and registry assignments — excluded by the pre-registered exclusion list"
6,RFC 10015,Deprecating Obsolete Key Exchange Methods in TLS 1.2 and DTLS 1.2,July 2026,yes,1. Introduction,138,"1024-bit FFDHE groups ... the maximum size that ensures wide support",NAMED,yes,"licensed at the site by (see [RFC7919], Section 1) and [DLOG795]; but the sentence reports practice rather than setting a requirement of this document"
7,RFC 10014,"Guidelines for Characterizing the Term ""OAM""",June 2026,no,,,"(none qualifying)",,no,"terminology guidance; no numeric threshold or parameter anywhere"
8,RFC 10013,Entity Attestation Token (EAT) Measured Component,July 2026,no,,,"(none qualifying)",,no,"only field widths (64 bits, exactly 8 bytes) — excluded as wire-format widths"
9,RFC 10008,The HTTP QUERY Method,June 2026,yes,1. Introduction,106,"recommends senders and recipients to support at least 8000 octets",NAMED,yes,"licensed at the site by Section 4.1 of [HTTP]; but the requirement is another document's, quoted here as motivation"
10,RFC 10007,Clarification to Processing Key Usage Values During Certificate Revocation List (CRL) Validation,June 2026,no,,,"(none qualifying)",,no,"only certificate version numbers (v2, v3) — excluded"
11,RFC 10005,BGP Link Bandwidth Extended Community,June 2026,not reached,,,,,yes,"codeability itself required an interpretive decision (sentinel value zero; one-community-per-transitivity cardinality) — the run stopped here on D3"
