n,corpus,profile,arxiv,value,target,cite_keys,class,evidence,match
1,cv,iou-0.5,2607.08076v1,0.50,other,guo2024damsdet zhao2024removal 10144688,T,"the COCO sweep stated in full: 'mAP under IoU ranging from 0.50 to 0.95' — F7's case, and the lower bound is a stated threshold value",IoU ranging from 0.50
2,gaia,uwe-1.25,2309.10148,3.13,other,"1993PASP..105..574R,2020MNRAS.493.3565J",X,"'RUWE ~2.3), pscol gives a colour of 3.13' — the captured 3.13 is a photometric colour; the gap crossed from the statistic to an unrelated quantity","RUWE \sim 2.3), pscol gives a colour of 3.13"
3,gaia,uwe-1.25,2512.02135,1.4,gaia_generic,GaiaCollaboration2023 El-Badry2021 GentileFusillo2021 El-Badry2021 GentileFusill,T,"'the RUWE parameter ... for both binary components is <1.4' — a selection criterion; F1's case, the gap to the sign exceeds 50 characters",RUWE parameter (astrometric goodness of fit) for both binary components is <1.4
4,cv,iou-0.5,2606.12826v1,72.08,other,wu2022defense wan2025instance wan2025instance,R,"'mIoU_ins of 72.08%' — a reported segmentation score, not a criterion",mIoU _ mathrm ins of 72.08%
5,gaia,uwe-1.25,2209.04210,1.4,lindegren_tn,Lindegren21a LL-124,T,'a value above 1.4 indicates that the published solution may not describe the object well <<CITE:LL-124>>' — a threshold AND the deriving note at the site,"ruwe evaluates the quality of the 5-parameter solution, and a value above 1.4"
6,cv,iou-0.5,2605.20436v2,0.1,none,,X,'best Variant mIoU (0.6086) is achieved at lambda_cons = 0.1' — 0.1 is a loss weight; the term is 40 characters away and governs nothing here,mIoU (0.6086) is achieved at \lambda_ \text cons =0.1
7,cv,iou-0.5,2607.13452v1,0.50,coco,"liu2023continual,kim2024sddgr,zhang2025dynamic,zhang2025dca lin2014microsoft",T,'AP averaged over IoU thresholds from 0.50 to 0.95' — F7's case,IoU thresholds from 0.50
8,cv,iou-0.5,2604.05347v1,50,other,fasterrcnn Chen2023TransTICTT,T,"'IoU thresholds ranging from 50 % to 95 %' — F7's case, written in the other unit",IoU) thresholds ranging from 50 %
9,gaia,uwe-1.25,2408.05423,2.65,none,,X,"'low-RUWE solutions, varpi = 12.55 and varpi = 2.65 mas' — 2.65 is a parallax","RUWE solutions, varpi =12.55\pm0.03 and varpi =2.65"
10,gaia,ruwe-1.4,2309.15905,0.181,gaia_generic,"GaiaCollaboration2023A&A,Halbwachs2023A&A",X,"'RUWE between 1.4 and 2, and a standard deviation of 0.181 mas' — the sentence does state a RUWE band, but the captured value 0.181 is a dispersion in mas","RUWE between 1.4 and 2, and a standard deviation of 0.181"
11,cv,iou-0.5,2607.00747v1,71,none,,X,"'near-zero overlap (1 of 71 shared)' — 'overlap' in the set-theoretic sense, and 71 is a sample count. The CV term's bare \boverlaps?\b at work",overlap (1 of 71
12,gaia,uwe-1.25,2404.18099,1.4,fabricius,El-Badry:2021MNRAS Fabricius:2021AA,T,"'ruwe_1<1.4 and ruwe_2<1.4' — a stated selection criterion; F2's case, invisible to 0.4 because of the subscript",ruwe_1<1.4
13,gaia,uwe-1.25,2203.11250,1.4,other,Ziegler20,T,'a large ( > 1.4) RUWE value indicates an issue with the single-star astrometric model' — a threshold statement with a proxy citation,"RUWE) values are often used as an indicator of the presence of a companion, as a large ( > 1.4"
14,cv,iou-0.5,2605.24533v1,6.28,none,,R,"'mIoU decreases to 56.31, a drop of 6.28 points' — a reported ablation delta","mIoU decreases to 56.31, a drop of 6.28"
15,cv,iou-0.5,2606.30795v1,53.669,other,He_2025_ICCV_DDT,R,'AP50 (average precision at IoU 0.5) from 53.669 to 58.695' — 53.669 is an AP score; the real threshold 0.5 stands elsewhere in the same phrase,IoU 0.5) from 53.669
16,gaia,ruwe-1.4,2409.16992,0.5,other,Lucas2022,X,'the ruwe allows at 2-sigma for a companion with a mass as high as 10 M_J at less than 0.5 au' — 0.5 is a separation in au,ruwe allows at 2-- sigma for a companion with a mass as high as 10 M _ rm J at less than 0.5
17,gaia,uwe-1.25,2409.16992,2,fabricius,Fabricius2021,X,"'a ruwe indicative of possible binarity, and IPD_frac_multi_peak > 2' — the threshold is on a different Gaia column; value collision across statistics","ruwe indicative of possible binarity, and \verb+IPD_frac_multi_peak+ > 2"
18,cv,iou-0.5,2603.12624v1,0.50,none,,T,'calculated across IoU thresholds from 0.50 to 0.95' — F7's case,IoU thresholds from 0.50
19,gaia,ruwe-1.4,2312.12827,1.4,fabricius,Fabricius-2021,T,"'ruwe_2<1.4, where ruwe_2 is the Renormalized Unit Weight Error of the M dwarf companions' — F2's case, a stated criterion",ruwe_2<1.4
20,gaia,uwe-1.25,2203.03659,2,none,,X,'separations exceeding 2 au' — 2 is a separation; the statistic is named 100 characters earlier in the same sentence,RUWE-based statistics to the proper motion anomaly happens mostly for systems with separations exceeding 2
