rfc,title,idx,section,token,reader_verdict,category,sentence
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,1,5,10,ARTEFACT,spec-name,Support for the PKCS #10 syntax for certification requests SHOULD be implemented by servers.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,2,5.1,12,PARAM,borderline: algorithm-fixed size,They MUST also support a 12-octet nonce size and a 12-octet Integrity Check Value (ICV) length.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,3,5.1,12,PARAM,borderline: algorithm-fixed size,They MUST also support a 12-octet nonce size and a 12-octet Integrity Check Value (ICV) length.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,4,5.1,2,ARTEFACT,spec-name,"If an entity supports PasswordRecipientInfo for EnvelopedData, AuthenticatedData, or AuthEnvelopedData, it MUST support Password- Based Key Derivation Function 2 (PBKDF2) [PBKDF2] for key derivation algorithms."
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,5,5.1,256,ARTEFACT,spec-name,* SHA-256 MUST be implemented for hashAlgId. * HMAC-SHA256 MUST be implemented for macAlgId.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,6,5.1,256,ARTEFACT,spec-name,* SHA-256 MUST be implemented for keyGenAlgorithm. * PBKDF2 [PBKDF2] MAY be implemented for keyGenAlgorithm. * HMAC-SHA256 MUST be implemented for macAlgorithm.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,7,5.1,256,ARTEFACT,spec-name,* SHA-256 MUST be implemented for witnessAlgID. * HMAC-SHA256 MUST be implemented for thePOPAlgID.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,8,5.1,256,ARTEFACT,spec-name,* SHA-256 MUST be implemented for hashAlgorithm.
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,9,5.2,2,ARTEFACT,ascii-table-furniture,+============================+==========+==========+==========+ | Control | EE | RA | CA | +============================+==========+==========+==========+ | Extended CMC Status Info | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | CMC Status Info | SHOULD | SH
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,10,5.2,4,ARTEFACT,ascii-table-furniture,+============================+==========+==========+==========+ | Control | EE | RA | CA | +============================+==========+==========+==========+ | Extended CMC Status Info | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | CMC Status Info | SHOULD | SH
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,11,5.2,5,ARTEFACT,ascii-table-furniture,+============================+==========+==========+==========+ | Control | EE | RA | CA | +============================+==========+==========+==========+ | Extended CMC Status Info | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | CMC Status Info | SHOULD | SH
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,12,5.2,4,ARTEFACT,ascii-table-furniture,+============================+==========+==========+==========+ | Control | EE | RA | CA | +============================+==========+==========+==========+ | Extended CMC Status Info | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | CMC Status Info | SHOULD | SH
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,13,5.2,5,ARTEFACT,ascii-table-furniture,+============================+==========+==========+==========+ | Control | EE | RA | CA | +============================+==========+==========+==========+ | Extended CMC Status Info | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | CMC Status Info | SHOULD | SH
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,14,5.2,3,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,15,5.2,3,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,16,5.2,3,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,17,5.2,3,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,18,5.2,3,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,19,5.2,3,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10004,Certificate Management over CMS (CMC): Compliance Requirements,20,5.2,2,ARTEFACT,ascii-table-furniture,Acceptance | MUST | MUST | MUST | +----------------------------+----------+----------+----------+ | Publish Trust Anchors | (3) | (3) | (3) | +----------------------------+----------+----------+----------+ | Authenticated Data | (3) | (3) | (3) | +----------------------------+----------+----------+-
RFC 10003,Certificate Management over CMS (CMC): Transport Protocols,1,7,5318,ARTEFACT,line-fragment,5318.
RFC 10002,Certificate Management over CMS (CMC),1,1.1,10,ARTEFACT,spec-name,"As much as possible, the protocol must be based on the existing CMS [CMS] [CMS-AE], PKCS #10 [PKCS10], and CRMF (Certificate Request Message Format) [CRMF] specifications."
RFC 10002,Certificate Management over CMS (CMC),2,1.1,10,ARTEFACT,spec-name,"The protocol must support the current industry practice of a PKCS #10 certification request followed by a PKCS #7 ""certs-only"" response as a subset of the protocol."
RFC 10002,Certificate Management over CMS (CMC),3,1.1,7,ARTEFACT,spec-name,"The protocol must support the current industry practice of a PKCS #10 certification request followed by a PKCS #7 ""certs-only"" response as a subset of the protocol."
RFC 10002,Certificate Management over CMS (CMC),4,3.2.1,10,ARTEFACT,spec-name,"The certification requests can be a CertificationRequest (PKCS #10), a CertReqMsg (CRMF), or an externally defined PKI Request."
RFC 10002,Certificate Management over CMS (CMC),5,3.2.1.2.1,10,ARTEFACT,spec-name,"When producing a certification request based on PKCS #10, clients MUST produce the certification request with a subject name and public key."
RFC 10002,Certificate Management over CMS (CMC),6,5,three,ARTEFACT,count-of-things,"Servers that support EnvelopedData or AuthEnvelopedData MUST provide support for all three EnvelopedData or AuthEnvelopedData options, respectively."
RFC 10002,Certificate Management over CMS (CMC),7,6.1.2,6.13,ARTEFACT,cross-reference,Further details can be found in Sections 6.1.1 and 6.13.
RFC 10002,Certificate Management over CMS (CMC),8,6.1.4,1000,PARAM,code range 1000-1999,Such codes MUST be in the range from 1000 to 1999.
RFC 10002,Certificate Management over CMS (CMC),9,6.2.1,16,PARAM,minimum token length,Implementations MUST be able to support tokens that are at least 16 characters long.
RFC 10002,Certificate Management over CMS (CMC),10,6.3,two,ARTEFACT,count-of-things,"In a CMC Full PKI Request, Proof-of-Identity information about the client is carried in the certificate associated with the signature of the SignedData containing the certification requests, one of the two Identity Proof controls, or the MAC computed for the AuthenticatedData containing the certific"
RFC 10002,Certificate Management over CMS (CMC),11,6.3,10,ARTEFACT,spec-name,"POP information for key pairs, however, is carried separately for each PKCS #10 or CRMF."
RFC 10002,Certificate Management over CMS (CMC),12,6.3,10,ARTEFACT,spec-name,"(For keys capable of generating a digital signature, the POP is provided by the signature on the PKCS #10 or CRMF."
RFC 10002,Certificate Management over CMS (CMC),13,6.3,three,ARTEFACT,count-of-things,"We describe three mechanisms for linking identity and POP information: witness values cryptographically derived from a shared- secret (Section 6.3.1), shared-secret/subject name matching (Section 6.3.2), and subject name matching to an existing certificate (Section 6.3.3)."
RFC 10002,Certificate Management over CMS (CMC),14,6.3,two,ARTEFACT,count-of-things,The idea behind the first two mechanisms is to force the client to sign some data into each certification request that can be directly associated with the shared-secret; this will defeat attempts to include certification requests from different entities in a single Full PKI Request.
RFC 10002,Certificate Management over CMS (CMC),15,6.3.2,two,ARTEFACT,count-of-things,"A common practice could be to place the identification value as part of the subject DN.) When the client generates the Full PKI Request, it MUST use these two pieces of information as follows:"
RFC 10002,Certificate Management over CMS (CMC),16,6.3.2,10,ARTEFACT,spec-name,The client MUST include the specific subject DN that it received along with the shared-secret as the subject name in every certification request (PKCS #10 and/or CRMF) in the Full PKI Request.
RFC 10002,Certificate Management over CMS (CMC),17,6.5.1,10,ARTEFACT,spec-name,Each BodyPartID of the certReferences sequence MUST be equal to either the bodyPartID of a TaggedCertificationRequest (PKCS #10) or the certReqId of the CertRequest within a CertReqMsg (CRMF).
RFC 10002,Certificate Management over CMS (CMC),18,6.5.2,10,ARTEFACT,spec-name,Each body part identifier of the certReferences sequence MUST be equal to either the bodyPartID of a TaggedCertificationRequest (PKCS #10) or the certReqId of the CertRequest within a CertReqMsg (CRMF).
RFC 10002,Certificate Management over CMS (CMC),19,6.7,2,ARTEFACT,step-numbering,"It is assumed that the message sent in Step 1 above is a | Full PKI Request and that the response in Step 2 is a Full PKI | Response including a CMCFailInfo specifying that a POP is | explicitly required, and providing the POP challenge in the | Encrypted POP control."
RFC 10002,Certificate Management over CMS (CMC),20,6.7,64,PARAM,size bound on POP proof value,"If the POP Proof Value is greater than 64 bytes, only the first 64 bytes of the POP Proof Value is used as the secret."
RFC 9999,Remote ATtestation procedureS (RATS) Conceptual Message Wrapper (CMW),1,3.1,4,PARAM,maximum bitmap size,An optional bitmap with a maximum size of 4 bytes that indicates which conceptual message types are carried in the value field.
RFC 9999,Remote ATtestation procedureS (RATS) Conceptual Message Wrapper (CMW),2,3.1,2,ARTEFACT,field-width-derived,"Any combination (i.e., any value between 1 and 2^32-1 inclusive) is allowed."
RFC 9999,Remote ATtestation procedureS (RATS) Conceptual Message Wrapper (CMW),3,3.1,32,ARTEFACT,field-width-derived,"Any combination (i.e., any value between 1 and 2^32-1 inclusive) is allowed."
RFC 9999,Remote ATtestation procedureS (RATS) Conceptual Message Wrapper (CMW),4,3.1,31,ARTEFACT,field-width-derived,"Only 5 bits are registered in this document, so the acceptable values are currently limited to 1 to 31."
RFC 9999,Remote ATtestation procedureS (RATS) Conceptual Message Wrapper (CMW),5,4.1,273,ARTEFACT,code-point,The protected header MUST include either the media type application/ cmw+cbor or the CoAP Content-Format 273.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,1,-,1.1,ARTEFACT,table-of-contents,Introduction 1.1.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,2,-,1.2,ARTEFACT,table-of-contents,Views Expressed in This Report 1.2.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,3,-,2,ARTEFACT,table-of-contents,Chatham House Rule 2.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,4,-,3,ARTEFACT,table-of-contents,Overview of the Workshop 3.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,5,-,3.1,ARTEFACT,table-of-contents,Key Takeaways 3.1.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,6,-,3.2,ARTEFACT,table-of-contents,There Is a Need for Cross-Cutting Collaboration 3.2.
