paper,sites,criterion_or_report,document_at_the_criterion,hand_note
2510.20947v1,1,criterion,"Vehtari et al. 2021 — the deriving document","‘a common threshold for approximate convergence is R̂<1.01 [vehtari_rank-normalization_2021]’; the paper also states it uses rank-normalized split-R̂"
2511.21553v1,1,report,"no citation","‘all R̂ < 1.01’ reported as an outcome, no reference"
2601.05859v1,3,criterion,"Gelman & Rubin 1992","‘We assessed convergence using the Gelman-Rubin statistic (R̂) [Gelman1992]. We considered chains to have successfully converged only if R̂ < 1.01’ — the NEWER value attributed to the OLDEST document, which contains no number at all. Two further sites are figure captions restating it"
2603.04003v1,4,criterion,"Vehtari et al. 2021 — the deriving document","the provenance narrated in one sentence: BDA 2nd ed. for 1.10, Vats & Knudson against it, Vehtari et al. 2021 for 1.01. Three further sites apply the criterion without repeating the citation"
2605.18476v2,4,report,"no citation","benchmark results reporting median maximum R̂ < 1.01"
2605.20400v1,4,criterion,"no citation","‘Gelman-Rubin statistic R̂ … We require R̂ < 1.01 for all parameters’ — the eponym without a reference"
2605.20692v1,1,report,"no citation","reports 17 parameters with R̂ > 1.01"
2605.30775v2,1,report,"no citation","‘all R̂ values were below 1.01’"
2606.07981v1,4,report,"Vehtari et al. 2021 named for the method","the four sites are REPORTED VALUES (R̂(μ)=1.01), not an applied threshold; the deriving document is cited for rank-normalization in the same passage"
2607.06805v1,1,criterion,"software (Stan, brms) + BDA3 in the window","‘Convergence is assessed using the R̂ statistic (target < 1.01)’ with carpenter2017, buerkner2017, gelman2013 in the window — the document that derives 1.01 is not among them"
2607.17908v1,1,criterion,"no citation","‘split-R̂ (target < 1.01)’"
2607.26949v1,3,criterion,"no citation","‘rank-normalized R̂: a data set with R̂>1.01 is reported as not meeting the screen’ — the method named, the document not"
2608.03566v1,2,criterion,"Vehtari et al. 2021 — the deriving document","‘convergence criteria (i.e., R̂ < 1.01 and ESS > 400) [vehtari2021improved]’, with the sampler cited beside it"
