literature,profile,arxiv,kind,class,ambiguous,sites_T,sites_X,evidence
gaia,ruwe-1.4,2206.04148,gained,C,A/C,0,1,"the captured 0.001 is a p-value column of a table row (`RUWE & & single point source fit quality & 1.7(0.2) & 1.016(0.002) & <0.001`); RUWE is used as an indicator whose sample/control difference is significant, and nothing is decided by a cut on it"
gaia,ruwe-1.4,2209.04210,gained,B,,1,0,"'The texttt ruwe evaluates the quality of the 5-parameter solution, and a value above 1.4 indicates that the published solution may %does not describe the object well <<CITE:LL-124>>' — a threshold statement, and the deriving note stands at it; hidden from 0.4 by a LaTeX comment inside the sentence"
gaia,ruwe-1.4,2508.16717,gained,B,,1,0,"'we only consider stars with \code SNR > 300 ... and \code RUWE < 1.4 (to avoid stars in binaries, e.g., <<CITE:Belokurov2020>>)' — a sample cut"
gaia,ruwe-1.4,2512.02135,gained,B,,1,0,"'We consider only pairs where the RUWE parameter (astrometric goodness of fit) for both binary components is <1.4' — a sample cut; the parenthesis is what put it past 0.4's 50-character gap"
cv,iou-0.5,2608.01348v2,gained,B,,1,0,"'we compute the averaged result over IoU thresholds ranging from 0.50 to 0.95 with a step size of 0.05' — the COCO sweep stated in full; lower bound is a stated threshold value (same rule as tick 50's sample)"
cv,iou-0.5,2607.29222v1,gained,C,,0,1,"'the predicted boxes achieve 97% coverage and an enclosing box IoU of 0.89' and 'a final IoU of only 0.35' — IoU as a measured localisation score; nothing is decided by a threshold"
cv,iou-0.5,2607.25736v1,gained,B,,1,0,"'we set an intersection-over-union (IoU) score of 0.5 and calculate the number of true positives, false negatives, and false positives for each image' — the correctness criterion, stated"
cv,iou-0.5,2607.25455v1,gained,B,,2,0,"'For mAP50, the threshold value for Intersection over Union (IoU) is taken as 50%' and 'mAP from 50% to 95% IoU'"
cv,iou-0.5,2607.21032v1,gained,C,,0,1,"'an intersection over union (IoU) loss function to supervise the saliency prediction maps' — IoU as a loss term; the captured 1 is the index of `_ i=1 ^3`"
cv,iou-0.5,2607.20238v1,gained,A,A/C,0,2,"new sites are performance gains ('mIoU on SODA, achieving 71.07%, with gains of 1.39'); the paper reports AP50/AP75 by name under 'a relatively loose IoU threshold' and never states the number — tick 46's name-absorption mode"
cv,iou-0.5,2607.18779v1,gained,C,,0,2,"'a front overlap of 80% and a side overlap of 75% were maintained during all flights' — photogrammetric image overlap, the profile's term in its ordinary sense; IoU appears otherwise only as CIoU loss"
cv,iou-0.5,2607.17340v1,gained,B,,1,0,"'We adopt the mean average precision (mAP) at a 0.5 IoU threshold as the evaluation metric'"
cv,iou-0.5,2607.09583v1,gained,B,,2,0,"'averaged across Intersection over Union (IoU) thresholds from 0.50 to 0.95' and 'the standard Harmonic Mean at the 50% IoU threshold'"
cv,iou-0.5,2607.05176v2,gained,B,,1,0,"'AP is computed by averaging results over IoU thresholds from 0.50 to 0.95 with a step size of 0.05'"
cv,iou-0.5,2607.05467v1,gained,B,,1,0,"'the mean average precision at IoU threshold 0.50 is reported as mAP@0.50' — a threshold statement, and `everingham2010pascal` stands in the window; read at source, the citation licenses the PRECEDING sentence's definition of AP, not the number — a window artefact against my own claim, reported as one"
cv,iou-0.5,2607.03589v2,gained,B,,1,0,"'subscripts 50 and 75 denote IoU thresholds' — the name-absorbed numbers unpacked in a table caption; captured value 75, not the focus value"
cv,iou-0.5,2607.00747v1,gained,C,,0,1,"'CAPA and MaxHerding each select 71 additional samples with near-zero overlap (1 of 71 shared)' — overlap between two selected sample sets; IoU appears otherwise only as the 'IoU crop' augmentation"
cv,iou-0.5,2606.31834v1,gained,B,,1,1,"T: 'mean average precision mAP at 0.5 IoU threshold'. X: 'O2M NMS IoU threshold' — the captured 2 is the M of O2M, and that threshold is 0.7 in any case"
cv,iou-0.5,2606.30179v1,gained,A,A/C,0,2,"new sites are results ('a segmentation mIoU of 0.8444, and an end-to-end identification accuracy of 85.8%'); the paper reports 'mAP\textsubscript 50 of 0.9906' — the number lives in the metric's name and is stated nowhere"
cv,iou-0.5,2608.04423v1,gained,C,,0,2,"new sites are reported scores ('an IoU of 0.910', 'occluded mIoU of 66.65'); the paper's one 'threshold 0.5' is the mask-probability threshold at which Dice/IoU are computed, not an IoU criterion"
cv,iou-0.5,2607.27585v1,gained,A,A/C,0,1,"new site is inter-annotator agreement ('a high pairwise IoU of 0.9008, confirming reliable annotation consistency'); the paper reports 'mAP, AP_50, and AP_75 under different Intersection over Union (IoU) thresholds' and states no value"
cv,iou-0.5,2606.16414v1,gained,A,A/C,0,2,"new sites are results ('the teacher achieved an mIoU of 72.47%'); IoU decides something — pseudo-labels are matched by 'the class that achieves the maximum IoU' — but by argmax, with no threshold value stated"
cv,iou-0.5,2605.24533v1,gained,C,,0,5,"all five new sites are amodal-segmentation results or gate values ('occ mIoU to drop from 62.59 to 37.29', 'the fixed gate=0.5 configuration'); full/occ mIoU are the paper's metrics and nothing is decided by an IoU threshold"
cv,iou-0.5,2605.11300v1,gained,C,,0,1,"'GraphScan-Mamba-T/S/B reach mIoU (SS) of 50.9/52.1/53.2' — a semantic-segmentation score"
cv,iou-0.5,2605.05616v1,gained,C,,0,1,"'their overlap DSC values are much lower, and several difficult bone pairs fall below 60%' — anatomical projection overlap in hand radiographs; the metrics are DSC/NSD/VOE"
cv,iou-0.5,2604.22838v1,gained,C,,0,1,"'significant overlap between certain classes, resulting in lower accuracies of 87.79%' — overlap of t-SNE feature clusters"
cv,iou-0.5,2604.18549v1,gained,C,,0,1,"'EVT-T/S/B/L achieves the mIoU of 48.3, 50.0, 51.7 and 52.0' — a semantic-segmentation score; AP^b/AP^m carry no stated threshold"
cv,iou-0.5,2604.05347v1,gained,B,,3,0,"'Three average precision metrics with IoU thresholds 50%, 75% and ranging from 50% to 95%'"
cv,iou-0.5,2604.01907v2,gained,C,,0,1,"'a maximum clip length of 300 frames and an overlap of 50 frames between adjacent clips' — temporal overlap of video clips"
cv,iou-0.5,2603.27993v1,gained,C,,0,1,"'For mIoU, PPCR achieves gains of +0.34% on Val and +0.91% on TestA, while showing a slight decrease of 0.03%' — oIoU/mIoU as referring-segmentation scores"
cv,iou-0.5,2603.25165v2,gained,B,,1,0,"'\text AP _ 25 and \text AP _ 50 denote AP at 25% and 50% IoU thresholds, while AP averages scores from 50% to 95% IoU (step size 5%)'"
mcmc,rhat-1.1,2606.03033v1,demoted,C,,0,0,"F4 correct: the only match was the letters `hat R` inside 'that R(x, cdot ) is nonnegative'; no R-hat, PSRF, Gelman-Rubin or convergence diagnostic anywhere in the paper"
mcmc,rhat-1.1,2601.09007v1,demoted,C,,0,0,"F4 correct: 'is an upper bound such that R\mapsto \Psi(R)/R^2 is non-increasing'; the diagnostic is absent from the paper"
mcmc,rhat-1.1,2510.22252v1,demoted,C,,0,0,"F4 correct: 'choosing the largest \lambda_g so that R^ \lambda_g remains small'; the diagnostic is absent from the paper"
mcmc,rhat-1.1,2606.31022v1,demoted,C,,0,0,"F4 correct: 'allowing voters to rank up to R candidates so that R < K'; an RCV election paper, the diagnostic is absent"
mcmc,rhat-1.1,2606.24652v1,demoted,C,,0,0,"F4 correct: 'it follows that R = O(...)'; the diagnostic is absent from the paper"
mcmc,rhat-1.1,2606.07947v1,demoted,C,,0,0,"F4 correct: 'It is easy to see that R \lo UV \hii c ( cdot )(u) is a linear functional'; the diagnostic is absent"
