stratum,read_order,arxiv,label,invoker,site_state,states_threshold,sites,fragment,note
B,1,2603.26541v1,I-USE,1,site_real=yes,no,1,IoU (mIoU) and instance-level average precision (AP) at IoU thresholds of 25%,site_real=yes - AP at IoU thresholds of 25/50/75 %; the sieve caught the 25 and the same match names 50
B,2,2607.13452v1,I-USE,1,site_real=yes,no,6,IoU thresholds from 0.50,site_real=yes
B,3,2604.20395v2,I-USE,1,site_real=yes,no,8,IoU > 0.5,site_real=yes - mask recall at IoU > 0.5
B,4,2607.03915v2,I-USE,1,site_real=yes,no,2,IoU threshold is 0.50,site_real=yes
B,5,2604.02032v1,I-NAME,1,"site_real=yes, non-focus",no,2,bounding-box overlap (IoU > 0.1,"site_real=yes, non-focus - sites are an occlusion proxy at IoU>0.1; the criterion enters only as AP@0.5 in a name"
B,6,2607.05978v1,I-USE,1,site_real=yes,no,5,IoU > 0.5,"site_real=yes - IoU > 0.5 throughout, as the matching criterion"
B,7,2604.17856v1,I-USE,1,site_real=yes,no,3,IoU threshold of 0.50,site_real=yes - one site is `overlap of 200` pixels between crops and is invented; the 0.50 site is real
B,8,2605.26370v1,I-USE,1,site_real=yes,no,6,IoU thresholds of 0.5,site_real=yes - one site is a reported mean IoU of 0.67 for another method
B,9,2608.04423v1,X-SCORE,0,site_real=NO,no,3,IoU of 0.910,"site_real=NO - three sites, all reported values; IoU is the quality number, no threshold role"
B,10,2604.01907v2,I-NAME,1,site_real=NO,no,1,overlap of 50,site_real=NO - `overlap of 50 frames` between clips. The paper NEVER writes IoU and reports AP_25/AP_50 tables: the criterion is wholly absorbed into the name. Corrected from a first reading of X-ENGLISH by the AP@50-name check
B,11,2606.12826v1,X-SCORE,0,site_real=NO,no,6,mIoU _ mathrm ins of 70.25%,site_real=NO - sites are reported mIoU_ins percentages
B,12,2606.30795v1,I-USE,1,site_real=yes,no,2,IoU threshold of 0.5,site_real=yes
B,13,2603.25993v1,I-USE,1,site_real=yes,no,3,IoU) thresholds of 25%,site_real=yes - AP at IoU thresholds of 25 % and 50 %
B,14,2607.29222v1,X-SCORE,0,site_real=NO,no,1,IoU of 0.89,site_real=NO - the site is a reported enclosing-box IoU of 0.89
