literature,stratum,arxiv,label,invoker,role,evidence
cv,M-NONINVOKER,2606.08002v1,I-OBJ,1,objective,"'The Lovasz term follows the overlap-surrogate motivation of Lovasz-Softmax' — the paper's own loss carries an IoU surrogate; the ratio is optimised, never stated as a threshold."
cv,M-NONINVOKER,2604.14720v1,X-COLL,0,,"'varying degrees of neighbor overlap' — myotubes physically overlapping in a volumetric stack. The English word."
cv,M-NONINVOKER,2607.12284v1,X-COLL,0,,"'EBPG-based overlap measures' — the fraction of attention energy inside a detected box. A ratio named overlap that is not area(A n B)/area(A u B)."
cv,M-NONINVOKER,2607.12231v1,X-COLL,0,,"'concurrent activities overlap as specified'; 'the two actors' timelines do not overlap at all'; light textures that 'overlap and partially obscure'. The English word, three senses."
cv,M-NONINVOKER,2606.26295v1,X-COLL,0,,"'a meaningful portion of overlap with the ground-truth distribution' — two distributions overlapping. The English word."
cv,M-NONINVOKER,2607.08541v1,I-CRIT,1,nms,"'By considering the confidence scores and spatial overlap between candidate boxes, redundant detections are suppressed' — the ratio as a suppression rule, tick 46's value-collision class, not the correctness criterion."
cv,M-INVOKER,2603.19609v2,I-OBJ,1,cost,"'quantified by Intersection over Union (IoU): c(I_q,I_hyp) = |M_q n M_hyp| / |M_q u M_hyp|' — the ratio as the alignment cost the pose search minimises."
cv,M-INVOKER,2604.22838v1,X-COLL,0,,"'other methods exhibit more overlap between feature clusters'; 'minimal overlap between different classes' — t-SNE clusters overlapping. The English word, and the exact class tick 51 met among the movers."
cv,M-INVOKER,2605.07415v2,I-CRIT,1,correctness,"'We compute pairwise IoU between predicted boxes and ground-truth boxes, and consider a pair eligible if IoU > 0.5'; 'we use mask IoU as the similarity score and count a match as true positive if IoU > 0.5'."
cv,M-INVOKER,2607.01983v1,I-CRIT,1,correctness,"'we report BEV AP (%) and 3D AP (%) for the sedan category at IoU = 0.5'; 'we sweep IoU thresholds over {0.3,0.5,0.7}'."
cv,M-INVOKER,2605.17584v1,I-CRIT,1,internal-filter,"'If the IoU falls below a preset threshold, the object is considered unstable and discarded from the current frame' — a temporal-consistency filter, tick 46's method-internal class."
cv,M-INVOKER,2606.30795v1,I-CRIT,1,correctness,"'A candidate r_ij is considered correct at IoU threshold eta if it can be assigned to an unmatched ground truth object of the same class whose box overlap is at least eta'."
gaia,,2302.02611,P-PASS,0,,"Only match is a column glossary of the archive query: 'ruwe & astrometric quality flag'. The paper retrieves the column and never states a cut in its text."
gaia,,2108.05321,I-CRIT,1,object-decision,"'Ross 19A has an ruwe value of 1.5, just above the value typically given for less reliable astrometric solutions (1.4)' — the boundary applied to one object."
gaia,,2504.07569,I-CRIT,1,quality-cut,"'A tighter cut on the ruwe parameter'; 'Additional cuts are applied to this sample based on the Renormalised Unit Weight Error'."
gaia,,2501.13809,I-CRIT,1,quality-cut,"'we select stars with Gaia re-normalized unit weight error (RUWE) < 1.2 (to exclude potential binaries)'."
gaia,,2311.08489,I-SCORE,1,tabulated,"RUWE tabulated per target and read as a companion indicator: 'RUWE acts like a reduced chi-squared, where large values can indicate a poor model fit'. No cut stated."
gaia,,2403.03261,I-CRIT,1,quality-cut,"'we filter for binaries by removing stars with a Gaia DR3 renormalized unit weight error (RUWE) > 1.4'."
gaia,,2106.07669,I-CRIT,1,quality-cut,"Selection expression: 'or (ruwe < 1.1 and ipd_gof_harmonic_amplitude < 1)'."
gaia,,2204.12140,I-CRIT,1,quality-cut,"'We apply additional quality cuts to the astrometry (RUWE < 1.2 ...)'; later 'quality cuts on RUWE ( < 1.4 )'."
gaia,,2206.03511,I-CRIT,1,quality-cut,"'only the sources with parallax > 0, relative parallax error < 0.1, and renormalised unit weight error (RUWE) < 1.4 were taken into account'."
gaia,,2403.12146,I-CRIT,1,quality-cut,"RUWE as one detection channel for binaries, with figure panels 'showing sources with ruwe <1.4'."
gaia,,2206.08383,I-CRIT,1,object-decision,"'has a low Renormalised Unit Weight Error (RUWE) in EDR3 (0.94) ... higher values (RUWE > ~1.3) suggests the presence of a stellar companion' — the boundary applied to one star."
gaia,,2309.13453,P-PASS,0,,"Only match is inside the ADQL select list of retrieved columns ('... astrometric_excess_noise_sig, ruwe, phot_g_mean_mag ...'). Never applied in the text."
mcmc,,2604.02304v1,X-COLL,0,,"'Define \\widehat R_0^(K) and \\widehat R_1^(K)' — hatted estimators of correlation functionals in a theory paper. Not the Gelman-Rubin statistic."
mcmc,,2510.01016v1,I-CRIT,1,convergence-cut,"'Convergence was assessed with the split Gelman-Rubin statistic \\hat R ... All runs achieved split-\\hat R <1.05'."
mcmc,,2607.26949v1,I-CRIT,1,convergence-cut,"'We assess ... with rank-normalized split \\widehat R'; 'A data set passes only if \\widehat R_C <= 1.01 and \\widehat R_K <= 1.01'."
mcmc,,2606.31022v1,X-COLL,0,repaired-away,"The 0.5 term finds no match at all in this paper: it entered the 0.4 mention set through one of the seven faults and the repair removed it. Counted as mentioned in the table the sample was drawn from."
mcmc,,2606.00783v1,I-CRIT,1,convergence-cut,"'quantitative diagnostics included Gelman--Rubin statistics ( \\hat R < 1.05 ) and effective sample sizes exceeding 500 per parameter'."
mcmc,,2605.30722v2,P-PASS,0,,"A paper about convergence certification that discusses \\hat R as a baseline and never computes it: its comparison table gives \\hat R a discrimination ratio of '---'. The sample's one contestable label."
mcmc,,2605.20692v1,I-CRIT,1,convergence-cut,"'Convergence is assessed using the split-\\hat R statistic, with all parameters required to satisfy \\hat R < 1.05'."
mcmc,,2605.27889v2,I-SCORE,1,reported,"'in the joint model the maximum \\hat R is 1.01 and there were no divergent transitions' — the value reported, no rule stated."
mcmc,,2509.02772v2,X-COLL,0,,"'\\hat R is the orthogonal matrix achieving the minimum' — a Davis-Kahan rotation in a matrix-recovery proof. Not this statistic."
mcmc,,2511.21553v1,I-CRIT,1,convergence-cut,"'All parameters exhibited satisfactory mixing properties and convergence diagnostics (all \\hat R < 1.01 )'."
mcmc,,2601.05859v1,I-CRIT,1,convergence-cut,"'We considered chains to have successfully converged only if \\hat R < 1.01 for all model parameters'."
mcmc,,2607.15499v1,I-CRIT,1,convergence-cut,"'we used the average \\hat R statistic ... discarding initial samples until convergence was indicated'; 'MTM failed to converge ( \\hat R > 1.05 )'."
