literature,read_order,arxiv,label,invoker,stated_value,evidence
gaia,1,2111.11725,X-QUERY,0,,"'ruwe & Renormalised unit weight error & --' — one match, a row in the paper's column-description table. The column is listed, no rule is stated."
gaia,2,2212.11971,X-QUERY,0,,"'%RUWE&Re-normalised unit-weight error' — one match, an entry in an acronym glossary, and the line is COMMENTED OUT in the source. The measure runs with comments kept."
gaia,3,2110.13382,I-USE,1,,"'the EB sample clearly exhibits systematically elevated RUWE values in Gaia ... a direct manifestation of unresolved tertiaries' — RUWE is read as evidence about the paper's own sample."
gaia,4,2304.07158,X-QUERY,0,,"'GEDR3_ruwe & Gaia EDR3 renormalised unit weight error & None' — one match, a column-description row of the released catalogue."
gaia,5,2601.02250,I-USE,1,,"'Three sdB stars were removed due to high RUWE values' — applied as a rejection criterion, with the values named ('2 to 3') and no threshold stated."
gaia,6,2104.13148,B-SITE,1,1.4,"'we rejected 7 sources with poor astrometric solution (renormalized unit weight error, RUWE,\footnote{https://www.cosmos.esa.int/web/gaia/dr2-known-issues} > 1.4)' — the focus value IS stated; a footnote URL stands between the term and the relation."
gaia,7,2601.07184,B-SITE,1,1.4,"'applied the condition ruwe\geqslant 1.4' and 'one quality condition is ruwe \leqslant 1.4' — the focus value IS stated, twice, in the relation macros \geqslant/\leqslant."
gaia,8,2206.11275,I-DISC,1,,"'a seeming excess in the RUWE can be due to stellar variability rather than binarity per se ... RUWE values for variable stars are difficult to interpret' — the statistic's behaviour is discussed as such."
gaia,9,2405.13395,B-SITE,1,5,"'RUWE & < & \phantom{-} 5' — a threshold IS stated, at 5 rather than at 1.4, in a LaTeX table where the relation and the value stand in separate cells."
gaia,10,2505.12945,B-SITE-WEAK,1,0.8-1.2,"'75.1% of targets have a Renormalised Unit Weight Error (RUWE) between 0.8 and 1.2, indicating that a single star solution fits well' — reported as a quality diagnostic of the paper's own sample; a range, not a criterion."
gaia,11,2309.13453,X-QUERY,0,,"'select ra, dec, l, b, ... ruwe, phot_g_mean_mag, ...' — one match, inside an ADQL select list. The column is fetched; no rule is stated."
gaia,12,2510.02509,I-USE,1,,"'The latter method inflates the uncertainties according to the Renormalised Unit Weight Error (RUWE) of the source' — RUWE drives the paper's own uncertainty treatment."
gaia,13,2209.02731,I-USE,1,,"'Stringent quality cuts regarding large-scale systematics, binarity, or crowded regions using keywords such as ruwe, ipd_gof_harmonic_amplitude, astrometric_excess_noise, etc were applied' — applied as a cut, no value stated."
gaia,14,2211.08463,I-USE,1,,"'ruwe & 1.96' in a feature-importance table, plus a ruwe distribution figure: the column is a training feature of the paper's own classifier."
gaia,15,2508.08374,I-USE,1,,"'This is captured by the renormalized unit weight error, or RUWE ... Stars with high RUWE values have astrometric residuals that indicate nonlinear motion' — RUWE defines the paper's sample of astrometric non-single stars."
gaia,16,2410.05654,I-USE,1,,"'RUWE & Gaia RUWE & 1.50 & 3.55' — the statistic is reported for the paper's own two targets, as a quality datum, with no criterion."
gaia,17,2310.02256,I-DISC,1,,"'the RUWE value has been used to identify astrometric solutions that deviate significantly from a single star solution ... A more powerful diagnostic for barely resolved systems' — a comparative claim about the statistic. Boundary case: a pointer to others' use that carries a judgement about RUWE's reach."
gaia,18,2407.19219,I-USE,1,,"'the small Renormalized Unit Weight Error (RUWE: 1.034) from Gaia DR3 for this source further argues against the binary hypothesis' — the value is evidence in the paper's own argument."
gaia,19,2603.11994,B-SITE,1,3,"'This relation excludes stars with ... large RUWE \gtrsim 3' — a threshold IS stated, at 3, in the relation macro \gtrsim."
gaia,20,2504.19866,I-DISC,1,,"'a limitation of this kind of analysis is that as the distance increases, the signal that one can expect from the ruwe decreases as well' — a claim about where the statistic loses power."
gaia,21,2203.07294,B-SITE,1,2.4,"'( i ) RUWE\footnote{RUWE is the renormalised unit weight error (for astrometry) discussed in [cite].} < 2.4' — a threshold IS stated, at 2.4; a footnote stands between the term and the relation."
