stratum,read_order,arxiv,label,invoker,fragment,note
A,1,2605.03614v1,I-DISC,1,PMQ does not rely on arbitrary IoU thresholds that filter the number of detections,
A,2,2605.18413v2,I-NAME,1,mAP_50:95 / AP_50:95 column headers,threshold stated nowhere
A,3,2605.04728v1,X-ENGLISH,0,prevent implausible overlaps between people,
A,4,2606.03875v1,X-OTHER,0,parameters such as IoU for association ... are optimized on the training set,"tracking-association threshold, not the correctness criterion"
A,5,2603.28027v1,X-LOSS,0,"L_IoU = L_MSE(hat o, o) penalizes the discrepancy between the predicted IoU",its metrics are AJI / PQ
A,6,2605.26682v1,I-NAME,1,Mean Average Precision at a threshold of 0.50 (mAP50),a threshold IS stated and the quantity it governs is not named at the site
A,7,2606.26615v2,X-SCORE,0,"mIoU for segmentation, and mAP for detection",
A,8,2606.29513v1,I-NAME,1,"we report target-view AP, AP50, and AP25",
A,9,2607.27843v1,X-LOSS,0,"a hybrid loss with BCE, IoU, and SSIM losses",
A,10,2607.12874v1,I-USE,1,hat o in TP if its IoU is greater than the threshold tau,free-symbol threshold
A,11,2608.06205v1,I-NAME,1,80.7% mAP50 / 45.0% mAP50:95 on FLIR,also states NMS IoU thresholds - a different quantity
A,12,2607.11732v1,X-ENGLISH,0,"this list is too long, and will overlap other information printed in the page headers",ACM template boilerplate
A,13,2603.25524v1,X-SCORE,0,with a mean 0.84 intersection over union (IOU),
A,14,2607.00129v1,B-SITE,1,"mAP, following COCO protocol across IoU thresholds 0.5-0.95",the hyphenated sweep - the fault tick 50 named and left unrepaired
A,15,2608.03106v1,I-NAME,1,"Object detection on M3FD is evaluated using mAP_50, and class-wise recall",
A,16,2604.01678v1,X-SCORE,0,mIoU / Recall / F_1 comparison table,
A,17,2603.19609v2,X-SCORE,0,"quantified by Intersection over Union (IoU), used as an alignment cost",
A,18,2606.20140v2,I-NAME,1,FSI queries which do not significantly help improve accuracy in terms of AP_50,
A,19,2608.04766v1,I-NAME,1,"mAP-50, which is the detection results with different thresholds of Intersection over Union","live text, not a comment - checked at source"
A,20,2605.23656v1,I-USE,1,mAP^box and mAP^mask across different IoU thresholds and object sizes,
A,21,2608.03490v1,X-OTHER,0,Outputs are aligned by matching bounding boxes with the highest Intersection over Union (IoU),max-IoU matching inside a distillation method
A,22,2604.14720v1,X-ENGLISH,0,varying degrees of neighbor overlap,
A,23,2604.19798v1,I-NAME,1,the detection of Signboards achieved high precision (mAP@0.5 = 0.774),
A,24,2608.03264v1,X-ENGLISH,0,both acoustic overlap and abrupt state changes occur,
A,25,2607.20748v1,X-ENGLISH,0,"when rocks overlap, the Centroid method ... may produce poses far from the true centroid",
A,26,2608.02980v1,B-SITE,1,"achieves an Intersection over Union (IoU) with the ground-truth box above a threshold (0.25, 0.5)",relation present; the number sits second in a parenthetical list
A,27,2606.26849v1,X-LOSS,0,weighted combination of the BCE loss and the Intersection-over-Union (IoU) loss,
A,28,2605.08925v2,I-NAME,1,mIOU / mAP_25% / mAP_50% table headers,
A,29,2606.31496v1,X-SCORE,0,mDice / mIoU comparison table,
A,30,2608.04394v1,X-OTHER,0,select the positive samples based on IoU values,"sample-selection filter, no threshold stated"
A,31,2607.12284v1,X-ENGLISH,0,Energy Based Pointing Game (EBPG) overlap metrics,
